,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.2.1,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.10,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.2.1,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.3.1,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.3.4,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.3.5,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.3.6,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.4.4,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.4.5,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE problem 3.4.6,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.3,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.4,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.5,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.6,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.7,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.8,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE example 3.9,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
NMSE p42,2sqrt
,quadp
,2tan
,3frac
,exp2
,cos2
,expq3
,logq
,expq2
,expax
,quad2p
,qlog
,quad2m
,2frac
,2cbrt
,2cos
,2log
,sqrtexp
,sintan
,2nthrt
,2sin
,tanhf
,2atan
,2isqrt
,expm1
,logs
,invcot
,quadm
